"year_id","region_name","value","posizione_in_classifica"
2015,"Provincia Autonoma di Bolzano","63.50","1"
2015,"Emilia-Romagna","58.20","2"
2015,"Provincia Autonoma di Trento","58.10","3"
2016,"Provincia Autonoma di Bolzano","64.70","1"
2016,"Emilia-Romagna","59.70","2"
2016,"Provincia Autonoma di Trento","57.80","3"
2017,"Provincia Autonoma di Bolzano","65.20","1"
2017,"Emilia-Romagna","59.90","2"
2017,"Provincia Autonoma di Trento","59.20","3"
2018,"Provincia Autonoma di Bolzano","65.80","1"
2018,"Emilia-Romagna","60.70","2"
2018,"Provincia Autonoma di Trento","59.50","3"
2019,"Provincia Autonoma di Bolzano","66.40","1"
2019,"Emilia-Romagna","61.40","2"
2019,"Provincia Autonoma di Trento","59.70","3"
2020,"Provincia Autonoma di Bolzano","64.60","1"
2020,"Emilia-Romagna","59.90","2"
2020,"Provincia Autonoma di Trento","58.40","3"
2021,"Provincia Autonoma di Bolzano","63.30","1"
2021,"Emilia-Romagna","59.70","2"
2021,"Provincia Autonoma di Trento","58.50","3"
2022,"Provincia Autonoma di Bolzano","66.60","1"
2022,"Emilia-Romagna","60.70","2"
2022,"Provincia Autonoma di Trento","60.20","3"
2023,"Provincia Autonoma di Bolzano","66.70","1"
2023,"Valle Aosta","61.70","2"
2023,"Emilia-Romagna","61.40","3"
2024,"Provincia Autonoma di Bolzano","66.20","1"
2024,"Valle Aosta","62.10","2"
2024,"Provincia Autonoma di Trento","61.80","3"
